timestamp_data_utc,elv_spy,speed,soc,amb_temp,soh,regenwh,Motor Pwr(w),Aux Pwr(100w),Motor Temp,Torque Nm,rpm,route_id,longitude,latitude,altitude,cumul_dist,timestamp_gps_utc,car_id,time_diff,point_geom,route_code,route_description,driver,start_timestamp,end_timestamp,car_code,car_description,capacity,ref_consumption,timestamp_weather_utc,wind_mph,wind_kph,wind_degree,wind_dir,Frontal_Wind,Veh_deg,totalVehicles,speedAvg,cars_by_speed_interval_0_80,cars_by_speed_interval_80_100,cars_by_speed_interval_100_120,cars_by_speed_interval_0_50,cars_by_speed_interval_50_80,cars_by_speed_interval_80_120,cars_by_speed_interval_120_inf,cars_by_length_interval_0_7,cars_by_length_interval_7_inf,max_speed,radius
30:57.6,,,86,,98.5,,,,,,,12,-2.2714121,43.178883,141.78833,0.0,30:57.2,6,0.45,0101000020E6100000AE1A191EDA2B02C04F7BC695E5964540,20230418_DACIA_AZPEITIA_DONOSTIA_012,,d4,30:53.2,11:06.0,DACIA_SPRING,Dacia Spring 33 kW,33000,139,30:04.6,8.1,13.0,350,N,-3.5872281089069253,26.018077033244,168,74,,,,1.0,123.0,44.0,0,146,22,25,2
31:03.1,,,86,,98.5,,,,,,,12,-2.271029,43.17907,141.31188999999998,0.037383935003338906,31:03.2,6,-0.099,0101000020E6100000158B423F112B02C02EC44DBAEB964540,20230418_DACIA_AZPEITIA_DONOSTIA_012,,d4,30:53.2,11:06.0,DACIA_SPRING,Dacia Spring 33 kW,33000,139,30:04.6,8.1,13.0,350,N,-3.0651820943212598,23.63779646123081,168,74,,,,1.0,123.0,44.0,0,146,22,25,2
31:08.6,,,86,,98.5,,,,,,,12,-2.2707434,43.179195,140.86706999999998,0.06439655847415832,31:08.3,6,0.3,0101000020E610000085D9BA8A7B2A02C044296BE5EF964540,20230418_DACIA_AZPEITIA_DONOSTIA_012,,d4,30:53.2,11:06.0,DACIA_SPRING,Dacia Spring 33 kW,33000,139,30:04.6,8.1,13.0,350,N,-4.067799252507784,28.23454573358609,168,74,,,,1.0,123.0,44.0,0,146,22,25,2
31:14.1,,,86,,98.5,,,,,,,12,-2.2705162,43.179317,139.19055,0.08733629422270173,31:14.3,6,-0.179,0101000020E6100000394EC065042A02C0710DE0EBF3964540,20230418_DACIA_AZPEITIA_DONOSTIA_012,,d4,30:53.2,11:06.0,DACIA_SPRING,Dacia Spring 33 kW,33000,139,30:04.6,8.1,13.0,350,N,2.165088704372723,0.412985012336747,168,74,,,,1.0,123.0,44.0,0,146,22,25,2
31:19.6,,,86,,98.5,,,,,,,12,-2.2701,43.17932,138.97125,0.12108626707636111,31:19.3,6,0.355,0101000020E6100000C192693C2A2902C083B55AF5F3964540,20230418_DACIA_AZPEITIA_DONOSTIA_012,,d4,30:53.2,11:06.0,DACIA_SPRING,Dacia Spring 33 kW,33000,139,30:04.6,8.1,13.0,350,N,-4.052778610687855,28.164858018422063,168,74,,,,1.0,123.0,44.0,0,146,22,25,2
31:25.1,,,86,,98.5,,,,,,,12,-2.2699263,43.179413,138.53368999999998,0.1385649005239233,31:25.3,6,-0.182,0101000020E610000096CFD12ECF2802C0E74B77F0F6964540,20230418_DACIA_AZPEITIA_DONOSTIA_012,,d4,30:53.2,11:06.0,DACIA_SPRING,Dacia Spring 33 kW,33000,139,30:04.6,8.1,13.0,350,N,-4.406746565427422,29.814773104368328,168,74,,,,1.0,123.0,44.0,0,146,22,25,2
31:30.6,,,86,,98.5,,,,,,,12,-2.2697675,43.179504,139.15466,0.15495310054646283,31:30.4,6,0.27,0101000020E61000004AFBF6E07B2802C0DF4DD8FAF9964540,20230418_DACIA_AZPEITIA_DONOSTIA_012,,d4,30:53.2,11:06.0,DACIA_SPRING,Dacia Spring 33 kW,33000,139,30:04.6,8.1,13.0,350,N,-3.6239891255244943,26.18671238309621,168,74,,,,1.0,123.0,44.0,0,146,22,25,2
31:36.2,,,86,,98.5,,,,,,,12,-2.2692266,43.17977,126.67291000000002,0.20930591334539278,31:36.4,6,-0.129,0101000020E610000046862C3D602702C04C7ACECC02974540,20230418_DACIA_AZPEITIA_DONOSTIA_012,,d4,30:53.2,11:06.0,DACIA_SPRING,Dacia Spring 33 kW,33000,139,30:04.6,8.1,13.0,350,N,-10.007143445098096,60.334160942393616,168,74,,,,1.0,123.0,44.0,0,146,22,65,2
31:41.8,,,86,,98.5,,,,,,,12,-2.2690842,43.18002,125.25464,0.23944061896941768,31:41.4,6,0.381,0101000020E6100000962112AE152702C09BCD3EEA0A974540,20230418_DACIA_AZPEITIA_DONOSTIA_012,,d4,30:53.2,11:06.0,DACIA_SPRING,Dacia Spring 33 kW,33000,139,30:04.6,8.1,13.0,350,N,-10.630100140594395,64.85521436921033,168,74,,,,1.0,123.0,44.0,0,146,22,65,2
31:47.3,,,86,,98.5,,,,,,,12,-2.2689002,43.180412,121.11041000000002,0.2856976596098123,31:47.4,6,-0.119,0101000020E61000001A882317B52602C0536639BF17974540,20230418_DACIA_AZPEITIA_DONOSTIA_012,,d4,30:53.2,11:06.0,DACIA_SPRING,Dacia Spring 33 kW,33000,139,30:04.6,8.1,13.0,350,N,-8.911496874870116,53.27492309307659,168,74,,,,1.0,123.0,44.0,0,146,22,25,2
