timestamp_data_utc,elv_spy,speed,soc,amb_temp,soh,regenwh,Motor Pwr(w),Aux Pwr(100w),Motor Temp,Torque Nm,rpm,route_id,longitude,latitude,altitude,cumul_dist,timestamp_gps_utc,car_id,time_diff,point_geom,route_code,route_description,driver,start_timestamp,end_timestamp,car_code,car_description,capacity,ref_consumption,timestamp_weather_utc,wind_mph,wind_kph,wind_degree,wind_dir,Frontal_Wind,Veh_deg,totalVehicles,speedAvg,cars_by_speed_interval_0_80,cars_by_speed_interval_80_100,cars_by_speed_interval_100_120,cars_by_speed_interval_0_50,cars_by_speed_interval_50_80,cars_by_speed_interval_80_120,cars_by_speed_interval_120_inf,cars_by_length_interval_0_7,cars_by_length_interval_7_inf,max_speed,radius
15:35.3,,,93,,98.5,,,,,,,10,-1.834186,43.3223,108.42731,0.0,15:34.9,6,0.39,0101000020E6100000357F4C6BD358FDBFE5DEF41541A94540,20230418_DACIA_IRUN_ANDOAIN_010,,d4,15:34.9,33:01.3,DACIA_SPRING,Dacia Spring 33 kW,33000,139,15:58.8,6.9,11.2,330,NNW,-11.0469676143801,110.51764874287858,175,42,,,,101.0,74.0,0.0,0,154,21,8,2
15:40.7,,,93,,98.5,,,,,,,10,-1.8343574,43.322758,107.34491,0.05279210918114679,15:40.9,6,-0.177,0101000020E6100000EBD5B6178759FDBF0757692050A94540,20230418_DACIA_IRUN_ANDOAIN_010,,d4,15:34.9,33:01.3,DACIA_SPRING,Dacia Spring 33 kW,33000,139,15:58.8,6.9,11.2,330,NNW,-4.751612828899745,55.10327256373231,175,42,,,,101.0,74.0,0.0,0,154,21,8,2
15:46.2,,,93,,98.5,,,,,,,10,-1.8342165,43.32296,105.49231,0.07804799491197413,15:45.9,6,0.311,0101000020E6100000FBF3865EF358FDBF393F8BC656A94540,20230418_DACIA_IRUN_ANDOAIN_010,,d4,15:34.9,33:01.3,DACIA_SPRING,Dacia Spring 33 kW,33000,139,15:58.8,6.9,11.2,330,NNW,3.976123785633703,9.205878248880875,175,42,,,,101.0,74.0,0.0,0,154,21,8,2
15:51.7,,,93,,98.5,,,,,,,10,-1.8338648,43.323017,105.43793,0.10719592256328266,15:51.9,6,-0.261,0101000020E610000028FCC6958257FDBF8BE7649058A94540,20230418_DACIA_IRUN_ANDOAIN_010,,d4,15:34.9,33:01.3,DACIA_SPRING,Dacia Spring 33 kW,33000,139,15:58.8,6.9,11.2,330,NNW,6.889146986672492,-7.959361924023888,175,42,,,,101.0,74.0,0.0,0,154,21,8,2
15:57.2,,,93,,98.5,,,,,,,10,-1.8337003,43.322994,104.67517,0.12076797112062462,15:57.0,6,0.17,0101000020E61000006FA53220D656FDBF6809F0E557A94540,20230418_DACIA_IRUN_ANDOAIN_010,,d4,15:34.9,33:01.3,DACIA_SPRING,Dacia Spring 33 kW,33000,139,15:58.8,6.9,11.2,330,NNW,11.117123085324684,-66.97450797746339,175,42,,,,101.0,74.0,0.0,0,154,21,8,2
16:02.7,,,93,,98.5,,,,,,,10,-1.8336986,43.32299,105.10193,0.12139952855650218,16:03.0,6,-0.3779999999999999,0101000020E6100000BD1EE95FD456FDBFC7FA1FC357A94540,20230418_DACIA_IRUN_ANDOAIN_010,,d4,15:34.9,33:01.3,DACIA_SPRING,Dacia Spring 33 kW,33000,139,15:58.8,6.9,11.2,330,NNW,8.355651189553134,-18.24852948820184,175,42,,,,101.0,74.0,0.0,0,154,21,8,2
16:08.2,,,93,,98.5,,,,,,,10,-1.8334863,43.32292,107.16698999999998,0.14036764533491075,16:08.0,6,0.181,0101000020E6100000ED9F02BBF555FDBFECBE848655A94540,20230418_DACIA_IRUN_ANDOAIN_010,,d4,15:34.9,33:01.3,DACIA_SPRING,Dacia Spring 33 kW,33000,139,15:58.8,6.9,11.2,330,NNW,2.411381916335997,17.566756955403935,175,42,,,,101.0,74.0,0.0,0,154,21,8,2
16:13.7,,,93,,98.5,,,,,,,10,-1.8329272,43.323097,104.23413,0.18977939181721165,16:14.1,6,-0.3289999999999999,0101000020E6100000EA98B170AB53FDBF2BDEE94A5BA94540,20230418_DACIA_IRUN_ANDOAIN_010,,d4,15:34.9,33:01.3,DACIA_SPRING,Dacia Spring 33 kW,33000,139,15:58.8,6.9,11.2,330,NNW,1.5670228130211803,21.957202433620388,175,42,,,,101.0,74.0,0.0,0,154,21,40,2
16:19.3,,,93,,98.5,,,,,,,10,-1.8322178,43.323383,102.451294,0.2554123230676808,16:19.1,6,0.182,0101000020E610000001CD9494C350FDBF1A1B57AF64A94540,20230418_DACIA_IRUN_ANDOAIN_010,,d4,15:34.9,33:01.3,DACIA_SPRING,Dacia Spring 33 kW,33000,139,15:58.8,6.9,11.2,330,NNW,9.507292922507798,-28.088481937072125,175,42,,,,101.0,74.0,0.0,0,154,21,40,2
16:24.8,,,93,,98.5,,,,,,,10,-1.8315114,43.323006,100.07385,0.3263231276992323,16:25.1,6,-0.305,0101000020E610000017A175E0DE4DFDBFCD22F34C58A94540,20230418_DACIA_IRUN_ANDOAIN_010,,d4,15:34.9,33:01.3,DACIA_SPRING,Dacia Spring 33 kW,33000,139,15:58.8,6.9,11.2,330,NNW,8.924536698431048,-97.17120836950332,175,42,,,,101.0,74.0,0.0,0,154,21,40,2
16:30.4,,,93,,98.5,,,,,,,10,-1.8315767,43.322487,102.903564,0.3843435931736148,16:30.2,6,0.218,0101000020E6100000AC04C56E234EFDBF53E2634547A94540,20230418_DACIA_IRUN_ANDOAIN_010,,d4,15:34.9,33:01.3,DACIA_SPRING,Dacia Spring 33 kW,33000,139,15:58.8,6.9,11.2,330,NNW,6.877195917543748,-112.11813951818375,175,42,,,,101.0,74.0,0.0,0,154,21,40,2
16:36.0,,,93,,98.5,,,,,,,10,-1.8317348,43.322098,105.11145,0.42950359665612575,16:36.2,6,-0.139,0101000020E6100000DB82AD2BC94EFDBFBE8255713AA94540,20230418_DACIA_IRUN_ANDOAIN_010,,d4,15:34.9,33:01.3,DACIA_SPRING,Dacia Spring 33 kW,33000,139,15:58.8,6.9,11.2,330,NNW,6.549732201820291,-114.21131312334298,175,42,,,,101.0,74.0,0.0,0,154,21,40,2
16:41.6,,,93,,98.5,,,,,,,10,-1.8318,43.321953,106.02258,0.4464920880456323,16:41.2,6,0.37,0101000020E6100000829DEE7E0D4FFDBF088531B735A94540,20230418_DACIA_IRUN_ANDOAIN_010,,d4,15:34.9,33:01.3,DACIA_SPRING,Dacia Spring 33 kW,33000,139,15:58.8,6.9,11.2,330,NNW,10.49791283881743,-80.39479584104978,175,42,,,,101.0,74.0,0.0,0,154,21,40,2
