timestamp_data_utc,elv_spy,speed,soc,amb_temp,soh,regenwh,Motor Pwr(w),Aux Pwr(100w),Motor Temp,Torque Nm,rpm,route_id,longitude,latitude,altitude,cumul_dist,timestamp_gps_utc,car_id,time_diff,point_geom,route_code,route_description,driver,start_timestamp,end_timestamp,car_code,car_description,capacity,ref_consumption,timestamp_weather_utc,wind_mph,wind_kph,wind_degree,wind_dir,Frontal_Wind,Veh_deg,totalVehicles,speedAvg,cars_by_speed_interval_0_80,cars_by_speed_interval_80_100,cars_by_speed_interval_100_120,cars_by_speed_interval_0_50,cars_by_speed_interval_50_80,cars_by_speed_interval_80_120,cars_by_speed_interval_120_inf,cars_by_length_interval_0_7,cars_by_length_interval_7_inf,max_speed,radius
06:19.0,,,83,,98.5,,,,,,,27,-2.023289,43.224846,74.07984,0.0,06:19.3,6,-0.252,0101000020E6100000C69F5C1BB22F00C06728FCBDC79C4540,20230419_DACIA_ANDOAIN_AZPEITIA_027,,d1,06:14.2,50:07.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,06:46.1,8.1,13.0,350,N,-4.541899084955871,169.55079461472442,385,114,0.0,47.0,232.0,,,,106,275,110,30,3
06:24.7,,,83,,98.5,,,,,,,27,-2.0237987,43.22494,76.56676999999999,0.04267291465032541,06:24.3,6,0.4529999999999999,0101000020E610000069DD8951BD3000C02C6EF0EBCA9C4540,20230419_DACIA_ANDOAIN_AZPEITIA_027,,d1,06:14.2,50:07.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,06:46.1,8.1,13.0,350,N,-12.722600985682728,111.85751579432304,385,114,0.0,47.0,232.0,,,,106,275,110,30,3
06:30.4,,,83,,98.5,,,,,,,27,-2.0239046000000003,43.225204,77.3724,0.07326730345338067,06:30.3,6,0.07,0101000020E6100000582DE0D8F43000C003DE2878D39C4540,20230419_DACIA_ANDOAIN_AZPEITIA_027,,d1,06:14.2,50:07.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,06:46.1,8.1,13.0,350,N,-6.776673606956221,41.41832415789895,385,114,0.0,47.0,232.0,,,,106,275,110,55,3
06:35.8,,,83,,98.5,,,,,,,27,-2.0235498,43.225517,78.221,0.11841645339087921,06:35.4,6,0.452,0101000020E6100000813A0CE33A3000C0291848BDDD9C4540,20230419_DACIA_ANDOAIN_AZPEITIA_027,,d1,06:14.2,50:07.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,06:46.1,8.1,13.0,350,N,-11.43842162490969,71.62772085898276,385,114,0.0,47.0,232.0,,,,106,275,110,55,3
06:41.4,,,83,,98.5,,,,,,,27,-2.023404,43.225956,80.460815,0.16869001807983,06:41.4,6,-0.077,0101000020E6100000B3DCF767EE2F00C054B4E32EEC9C4540,20230419_DACIA_ANDOAIN_AZPEITIA_027,,d1,06:14.2,50:07.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,06:46.1,8.1,13.0,350,N,-1.6501243468777784,-177.29237715154937,385,114,0.0,47.0,232.0,,,,106,275,110,45,3
06:46.9,,,83,,98.5,,,,,,,27,-2.0240595,43.225925,81.65439,0.22192581412455792,06:46.5,6,0.3389999999999999,0101000020E61000003B14B526463100C051E7F928EB9C4540,20230419_DACIA_ANDOAIN_AZPEITIA_027,,d1,06:14.2,50:07.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,06:46.1,8.1,13.0,350,N,1.0067543079585743,-165.5584164283086,385,114,0.0,47.0,232.0,,,,106,275,110,45,3
06:52.6,,,83,,98.5,,,,,,,27,-2.0247235,43.225754,84.62858,0.27906399822438077,06:52.5,6,0.06,0101000020E61000001EBE233FA23200C04CAB607BE59C4540,20230419_DACIA_ANDOAIN_AZPEITIA_027,,d1,06:14.2,50:07.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,06:46.1,8.1,13.0,350,N,2.5908570794460397,-158.50416510763756,385,114,0.0,47.0,232.0,,,,106,275,110,45,3
06:58.2,,,83,,98.5,,,,,,,27,-2.0249114,43.22568,86.90625,0.2965189170902284,06:58.6,6,-0.376,0101000020E61000004E72FECD043300C060DCC92AE39C4540,20230419_DACIA_ANDOAIN_AZPEITIA_027,,d1,06:14.2,50:07.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,06:46.1,8.1,13.0,350,N,-0.383361543071316,-171.6898602486206,385,114,0.0,47.0,232.0,,,,106,275,110,45,3
07:03.8,,,83,,98.5,,,,,,,27,-2.0253701,43.225613,87.65511,0.3344311602639115,07:03.6,6,0.139,0101000020E610000000C9203BF53300C0A2EC05D0E09C4540,20230419_DACIA_ANDOAIN_AZPEITIA_027,,d1,06:14.2,50:07.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,06:46.1,8.1,13.0,350,N,-2.482279701649074,178.99208534197118,385,114,0.0,47.0,232.0,,,,106,275,110,45,3
07:09.3,,,83,,98.5,,,,,,,27,-2.0262227,43.225628,86.19852,0.4035473370548524,07:09.7,6,-0.38,0101000020E6100000871EE23EB43500C0A46AB855E19C4540,20230419_DACIA_ANDOAIN_AZPEITIA_027,,d1,06:14.2,50:07.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,06:46.1,8.1,13.0,350,N,0.7141940212022424,-166.8506988197463,385,114,0.0,47.0,232.0,,,,106,275,110,45,3
07:14.9,,,83,,98.5,,,,,,,27,-2.026685,43.22552,87.76652,0.44291381496186927,07:14.8,6,0.119,0101000020E61000006FA2AC99A63600C0048FFDECDD9C4540,20230419_DACIA_ANDOAIN_AZPEITIA_027,,d1,06:14.2,50:07.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,06:46.1,8.1,13.0,350,N,11.388696691316676,-108.83008586523442,385,114,0.0,47.0,232.0,,,,106,275,110,8,3
07:20.5,,,83,,98.5,,,,,,,27,-2.0268330000000003,43.225086,87.31965,0.4926419686851789,07:20.8,6,-0.286,0101000020E6100000D6D58546F43600C0971192A1CF9C4540,20230419_DACIA_ANDOAIN_AZPEITIA_027,,d1,06:14.2,50:07.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,06:46.1,8.1,13.0,350,N,6.554324030725131,-20.27685255454833,385,114,0.0,47.0,232.0,,,,106,275,110,45,3
07:26.0,,,83,,98.5,,,,,,,27,-2.0264297,43.224937,85.86697,0.5293081012339379,07:25.8,6,0.192,0101000020E61000006B636FC5203600C086E4AFB6CA9C4540,20230419_DACIA_ANDOAIN_AZPEITIA_027,,d1,06:14.2,50:07.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,06:46.1,8.1,13.0,350,N,8.644512011612148,-31.67944567821268,385,114,0.0,47.0,232.0,,,,106,275,110,45,3
