timestamp_data_utc,elv_spy,speed,soc,amb_temp,soh,regenwh,Motor Pwr(w),Aux Pwr(100w),Motor Temp,Torque Nm,rpm,route_id,longitude,latitude,altitude,cumul_dist,timestamp_gps_utc,car_id,time_diff,point_geom,route_code,route_description,driver,start_timestamp,end_timestamp,car_code,car_description,capacity,ref_consumption,timestamp_weather_utc,wind_mph,wind_kph,wind_degree,wind_dir,Frontal_Wind,Veh_deg,totalVehicles,speedAvg,cars_by_speed_interval_0_80,cars_by_speed_interval_80_100,cars_by_speed_interval_100_120,cars_by_speed_interval_0_50,cars_by_speed_interval_50_80,cars_by_speed_interval_80_120,cars_by_speed_interval_120_inf,cars_by_length_interval_0_7,cars_by_length_interval_7_inf,max_speed,radius
05:20.3,,,56,,98.5,,,,,,,25,-1.9829619,43.288227,162.72336,0.0,05:20.3,7,-0.003,0101000020E61000002759AA4E36BAFFBFF95F6A92E4A44540,20230419_DACIA_DONOSTIA_IRUN_025,,d1,04:26.1,41:47.9,DACIA_SPRING,Dacia Spring 33 kW,33000,139,03:11.2,3.8,6.1,10,N,6.061423233176823,-106.44710534966664,535,95,41.0,292.0,188.0,,,,14,485,50,25,2
05:27.5,,,56,,98.5,,,,,,,25,-1.9830112,43.28806,165.63373,0.019215138208267767,05:27.3,7,0.193,0101000020E6100000FEE689FA69BAFFBF0DB3A713DFA44540,20230419_DACIA_DONOSTIA_IRUN_025,,d1,04:26.1,41:47.9,DACIA_SPRING,Dacia Spring 33 kW,33000,139,03:11.2,3.8,6.1,10,N,4.939725340194218,-135.92447957827855,535,95,41.0,292.0,188.0,,,,14,485,50,25,2
05:34.1,,,56,,98.5,,,,,,,25,-1.9833355,43.287746000000006,168.71225,0.06300512821175237,05:34.4,7,-0.246,0101000020E61000001A754005BEBBFFBFB0E1C3E9D4A44540,20230419_DACIA_DONOSTIA_IRUN_025,,d1,04:26.1,41:47.9,DACIA_SPRING,Dacia Spring 33 kW,33000,139,03:11.2,3.8,6.1,10,N,1.4348372978825803,-23.60454593043516,535,95,41.0,292.0,188.0,,,,14,485,50,25,2
05:39.9,,,56,,98.5,,,,,,,25,-1.9829602,43.287582,171.00665,0.0985098849363504,05:39.4,7,0.479,0101000020E6100000FCEECF7734BAFFBF75C3CB71CFA44540,20230419_DACIA_DONOSTIA_IRUN_025,,d1,04:26.1,41:47.9,DACIA_SPRING,Dacia Spring 33 kW,33000,139,08:00.4,3.8,6.1,10,N,-4.172651823836792,33.160256028517786,535,95,41.0,292.0,188.0,,,,14,485,50,25,2
05:46.3,,,56,,98.5,,,,,,,25,-1.9823174,43.288002,171.80796999999998,0.16842914431045447,05:46.4,7,-0.107,0101000020E610000012C9FA7F92B7FFBF1FFFBE38DDA44540,20230419_DACIA_DONOSTIA_IRUN_025,,d1,04:26.1,41:47.9,DACIA_SPRING,Dacia Spring 33 kW,33000,139,08:00.4,3.8,6.1,10,N,-2.791293478511089,17.23164528748233,535,95,41.0,292.0,188.0,,,,14,485,50,25,2
05:54.5,,,56,,98.5,,,,,,,25,-1.9810503,43.288395,173.48486,0.27992318302794333,05:54.5,7,0.0,0101000020E6100000ED86C8C661B2FFBFF328CF19EAA44540,20230419_DACIA_DONOSTIA_IRUN_025,,d1,04:26.1,41:47.9,DACIA_SPRING,Dacia Spring 33 kW,33000,139,08:00.4,3.8,6.1,10,N,-4.816443741294753,42.14636702946442,364,97,,,,0.0,39.0,316.0,9,331,33,25,2
06:05.3,,,56,,98.5,,,,,,,25,-1.979973,43.28937,171.74132,0.41906345501198095,06:05.6,7,-0.244,0101000020E6100000DAC52215F8ADFFBFFBB144290AA54540,20230419_DACIA_DONOSTIA_IRUN_025,,d1,04:26.1,41:47.9,DACIA_SPRING,Dacia Spring 33 kW,33000,139,08:00.4,3.8,6.1,10,N,-5.901192087741465,94.66817832475918,364,97,,,,0.0,39.0,316.0,9,331,33,8,2
06:11.7,,,56,,98.5,,,,,,,25,-1.9800233,43.289986,169.22891,0.48772639363669507,06:11.6,7,0.07,0101000020E6100000EDCA07DD2CAEFFBF45C8634F1EA54540,20230419_DACIA_DONOSTIA_IRUN_025,,d1,04:26.1,41:47.9,DACIA_SPRING,Dacia Spring 33 kW,33000,139,08:00.4,3.8,6.1,10,N,-6.061820324218801,86.41380291351585,364,97,,,,0.0,39.0,316.0,9,331,33,25,2
06:17.3,,,56,,98.5,,,,,,,25,-1.9800097,43.290203000000005,166.02159,0.5120927974743256,06:17.7,7,-0.31,0101000020E610000081E38CA21EAEFFBF3BE99A5725A54540,20230419_DACIA_DONOSTIA_IRUN_025,,d1,04:26.1,41:47.9,DACIA_SPRING,Dacia Spring 33 kW,33000,139,08:00.4,3.8,6.1,10,N,-0.3918424490833185,-6.3169856940418,364,97,,,,0.0,39.0,316.0,9,331,33,25,2
06:23.5,,,56,,98.5,,,,,,,25,-1.9799826,43.2902,164.24403,0.5149356922307378,06:23.7,7,-0.162,0101000020E6100000C626064602AEFFBFC1AA0E4B25A54540,20230419_DACIA_DONOSTIA_IRUN_025,,d1,04:26.1,41:47.9,DACIA_SPRING,Dacia Spring 33 kW,33000,139,08:00.4,3.8,6.1,10,N,-4.753022491347364,41.18592518045841,364,97,,,,0.0,39.0,316.0,9,331,33,25,2
06:29.2,,,56,,98.5,,,,,,,25,-1.9799746,43.290207,163.64967,0.5161097336095362,06:28.7,7,0.484,0101000020E6100000FB904FE3F9ADFFBFEEB9097425A54540,20230419_DACIA_DONOSTIA_IRUN_025,,d1,04:26.1,41:47.9,DACIA_SPRING,Dacia Spring 33 kW,33000,139,08:00.4,3.8,6.1,10,N,-4.342836771353297,35.3930161402494,364,97,,,,0.0,39.0,316.0,9,331,33,25,2
06:34.8,,,56,,98.5,,,,,,,25,-1.979862,43.290287,162.63332,0.5288855633851354,06:34.8,7,0.0279999999999999,0101000020E6100000DD9A1BB583ADFFBF66128C1F28A54540,20230419_DACIA_DONOSTIA_IRUN_025,,d1,04:26.1,41:47.9,DACIA_SPRING,Dacia Spring 33 kW,33000,139,08:00.4,3.8,6.1,10,N,-2.266768229875382,11.814410578002772,364,97,,,,0.0,39.0,316.0,9,331,33,25,2
06:40.3,,,56,,98.5,,,,,,,25,-1.9794652,43.29037,160.81233,0.5623509403324957,06:39.8,7,0.481,0101000020E610000058F7E4CFE3ABFFBFEE00F8E32AA54540,20230419_DACIA_DONOSTIA_IRUN_025,,d1,04:26.1,41:47.9,DACIA_SPRING,Dacia Spring 33 kW,33000,139,08:00.4,3.8,6.1,10,N,3.201298082643339,-41.654979859409536,364,97,,,,0.0,39.0,316.0,9,331,33,25,2
06:45.8,,,56,,98.5,,,,,,,25,-1.9791999,43.290134,159.08205,0.5963026044481876,06:45.8,7,-0.006,0101000020E6100000D96EC070CDAAFFBF538A771F23A54540,20230419_DACIA_DONOSTIA_IRUN_025,,d1,04:26.1,41:47.9,DACIA_SPRING,Dacia Spring 33 kW,33000,139,08:00.4,3.8,6.1,10,N,4.355626538075986,-55.5643445555208,364,97,,,,0.0,39.0,316.0,9,331,33,25,2
06:51.4,,,56,,98.5,,,,,,,25,-1.9790854,43.289967,157.95218,0.6170869582193377,06:51.9,7,-0.493,0101000020E61000000390B37855AAFFBFD2286C9D1DA54540,20230419_DACIA_DONOSTIA_IRUN_025,,d1,04:26.1,41:47.9,DACIA_SPRING,Dacia Spring 33 kW,33000,139,08:00.4,3.8,6.1,10,N,5.242554382892062,-69.25322001392368,364,97,,,,0.0,39.0,316.0,9,331,33,25,2
06:56.9,,,56,,98.5,,,,,,,25,-1.9790032,43.28975,155.24551,0.6422626026426309,06:56.9,7,0.034,0101000020E6100000D36C753DFFA9FFBFFF6F0E7916A54540,20230419_DACIA_DONOSTIA_IRUN_025,,d1,04:26.1,41:47.9,DACIA_SPRING,Dacia Spring 33 kW,33000,139,08:00.4,3.8,6.1,10,N,4.723874187083138,-60.75117366342754,364,97,,,,0.0,39.0,316.0,9,331,33,25,2
07:02.9,,,56,,98.5,,,,,,,25,-1.9787904,43.28937,153.24345,0.687936133009062,07:02.9,7,-0.0289999999999999,0101000020E6100000D245261620A9FFBFE65B72130AA54540,20230419_DACIA_DONOSTIA_IRUN_025,,d1,04:26.1,41:47.9,DACIA_SPRING,Dacia Spring 33 kW,33000,139,08:00.4,3.8,6.1,10,N,-3.131432709072062,20.88720525656676,364,97,,,,0.0,39.0,316.0,9,331,33,55,2
07:08.7,,,56,,98.5,,,,,,,25,-1.9779466,43.289692,152.03128,0.7650580472812891,07:09.0,7,-0.273,0101000020E61000005B40456BABA5FFBFD4BBAC9914A54540,20230419_DACIA_DONOSTIA_IRUN_025,,d1,04:26.1,41:47.9,DACIA_SPRING,Dacia Spring 33 kW,33000,139,08:00.4,3.8,6.1,10,N,-3.200411001108486,21.645191954449132,364,97,,,,0.0,39.0,316.0,9,331,33,25,2
07:15.2,,,56,,98.5,,,,,,,25,-1.9769084,43.290104,149.98203999999998,0.8607868002234829,07:15.0,7,0.2019999999999999,0101000020E6100000B29D39BB6AA1FFBF7D70F52922A54540,20230419_DACIA_DONOSTIA_IRUN_025,,d1,04:26.1,41:47.9,DACIA_SPRING,Dacia Spring 33 kW,33000,139,08:00.4,3.8,6.1,10,N,-3.5744398524998573,25.871810548353,364,97,,,,0.0,39.0,316.0,9,331,33,25,1
07:20.6,,,56,,98.5,,,,,,,25,-1.9760836,43.290504,148.05121,0.9410273951704263,07:21.1,7,-0.444,0101000020E610000004D552DF099EFFBF6B9E25442FA54540,20230419_DACIA_DONOSTIA_IRUN_025,,d1,04:26.1,41:47.9,DACIA_SPRING,Dacia Spring 33 kW,33000,139,08:00.4,3.8,6.1,10,N,-3.4614808412362104,24.57300608649664,364,97,,,,0.0,39.0,316.0,9,331,33,8,1
