timestamp_data_utc,elv_spy,speed,soc,amb_temp,soh,regenwh,Motor Pwr(w),Aux Pwr(100w),Motor Temp,Torque Nm,rpm,route_id,longitude,latitude,altitude,cumul_dist,timestamp_gps_utc,car_id,time_diff,point_geom,route_code,route_description,driver,start_timestamp,end_timestamp,car_code,car_description,capacity,ref_consumption,timestamp_weather_utc,wind_mph,wind_kph,wind_degree,wind_dir,Frontal_Wind,Veh_deg,totalVehicles,speedAvg,cars_by_speed_interval_0_80,cars_by_speed_interval_80_100,cars_by_speed_interval_100_120,cars_by_speed_interval_0_50,cars_by_speed_interval_50_80,cars_by_speed_interval_80_120,cars_by_speed_interval_120_inf,cars_by_length_interval_0_7,cars_by_length_interval_7_inf,max_speed,radius
34:33.9,,,64,,98.5,,,,,,,33,-1.9828074,43.288647,167.60251,0.0,34:34.2,6,-0.291,0101000020E610000093B7393194B9FFBF84F1C469F2A44540,20230419_DACIA_DONOSTIA_TOLOSA_033,,d2,33:44.8,58:01.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,36:30.4,5.6,9,30,NNE,8.947901752808605,-113.83209531116977,165,110,0.0,19.0,128.0,,,,18,164,1,25,2
34:39.6,,,64,,98.5,,,,,,,33,-1.9829408,43.288345,169.62346000000002,0.035331891201041375,34:39.3,6,0.317,0101000020E6100000E5CC4B1920BAFFBFBDF82686E8A44540,20230419_DACIA_DONOSTIA_TOLOSA_033,,d2,33:44.8,58:01.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,36:30.4,5.6,9,30,NNE,8.762894341376628,-106.81908881353438,165,110,0.0,19.0,128.0,,,,18,164,1,25,2
34:45.1,,,64,,98.5,,,,,,,33,-1.9830203,43.288082,171.17203999999998,0.0653157411659933,34:45.3,6,-0.198,0101000020E610000084DE4F8473BAFFBF8D6EC5DADFA44540,20230419_DACIA_DONOSTIA_TOLOSA_033,,d2,33:44.8,58:01.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,36:30.4,5.6,9,30,NNE,8.862808595139457,-109.9831065143781,165,110,0.0,19.0,128.0,,,,18,164,1,25,2
34:50.7,,,64,,98.5,,,,,,,33,-1.9830283,43.28806,171.6976,0.06790027742174658,34:50.3,6,0.347,0101000020E6100000E5BA27D07BBAFFBF445A0322DFA44540,20230419_DACIA_DONOSTIA_TOLOSA_033,,d2,33:44.8,58:01.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,36:30.4,5.6,9,30,NNE,8.740798857444885,-133.78423568647264,165,110,0.0,19.0,128.0,,,,18,164,1,25,2
34:56.3,,,64,,98.5,,,,,,,33,-1.983335,43.28774,175.1533,0.11142388530589144,34:56.4,6,-0.123,0101000020E61000005700E688BDBBFFBF1E126DA9D4A44540,20230419_DACIA_DONOSTIA_TOLOSA_033,,d2,33:44.8,58:01.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,36:30.4,5.6,9,30,NNE,1.0022767131847317,-36.39395472863603,165,110,0.0,19.0,128.0,,,,18,164,1,25,2
35:01.8,,,64,,98.5,,,,,,,33,-1.9829687,43.28747,176.59578,0.15364339147101247,35:01.5,6,0.301,0101000020E61000000FBB246F3DBAFFBFBD78DFD3CBA44540,20230419_DACIA_DONOSTIA_TOLOSA_033,,d2,33:44.8,58:01.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,36:30.4,5.6,9,30,NNE,1.3936777616483864,-38.90827574552672,165,110,0.0,19.0,128.0,,,,18,164,1,25,2
35:07.4,,,64,,98.5,,,,,,,33,-1.9824979,43.28709,179.2248,0.2106037625182566,35:07.5,6,-0.124,0101000020E61000004C2272C64FB8FFBF4CBAE961BFA44540,20230419_DACIA_DONOSTIA_TOLOSA_033,,d2,33:44.8,58:01.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,36:30.4,5.6,9,30,NNE,3.924004318444116,-55.84897306254362,165,110,0.0,19.0,128.0,,,,18,164,1,25,2
35:12.8,,,64,,98.5,,,,,,,33,-1.9823663,43.286896,180.99477,0.23472720111758216,35:12.5,6,0.242,0101000020E610000072B5BAC1C5B7FFBFE1EB3F05B9A44540,20230419_DACIA_DONOSTIA_TOLOSA_033,,d2,33:44.8,58:01.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,36:30.4,5.6,9,30,NNE,6.790755494128957,-161.01582157568456,165,110,0.0,19.0,128.0,,,,18,164,1,25,2
35:18.3,,,64,,98.5,,,,,,,33,-1.9828779,43.28672,182.9049,0.28056862157676676,35:18.6,6,-0.29,0101000020E61000003D37EE2EDEB9FFBF88B6844AB3A44540,20230419_DACIA_DONOSTIA_TOLOSA_033,,d2,33:44.8,58:01.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,36:30.4,5.6,9,30,NNE,5.948678415857242,-168.62654509453895,165,110,0.0,19.0,128.0,,,,18,164,1,25,2
35:23.7,,,64,,98.5,,,,,,,33,-1.9836236,43.286570000000005,182.88316,0.34318952014253523,35:23.6,6,0.066,0101000020E61000000819DF1CECBCFFBF69E83065AEA44540,20230419_DACIA_DONOSTIA_TOLOSA_033,,d2,33:44.8,58:01.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,36:30.4,5.6,9,30,NNE,7.341386265614247,-155.3424154130391,165,110,0.0,19.0,128.0,,,,18,164,1,8,2
35:29.2,,,64,,98.5,,,,,,,33,-1.9843599,43.286232,183.49431,0.4136512815304742,35:28.8,6,0.441,0101000020E6100000CD527E18F0BFFFBF4AD7283EA3A44540,20230419_DACIA_DONOSTIA_TOLOSA_033,,d2,33:44.8,58:01.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,36:30.4,5.6,9,30,NNE,6.388585939258545,-164.7778667738946,165,110,0.0,19.0,128.0,,,,18,164,1,8,2
35:34.8,,,64,,98.5,,,,,,,33,-1.985139,43.28602,183.6355,0.4809761255420584,35:34.8,6,-0.005,0101000020E61000002BC4372521C3FFBFA39920409CA44540,20230419_DACIA_DONOSTIA_TOLOSA_033,,d2,33:44.8,58:01.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,36:30.4,5.6,9,30,NNE,6.074722866497769,-167.54824097288312,165,110,0.0,19.0,128.0,,,,18,164,1,8,2
35:40.5,,,64,,98.5,,,,,,,33,-1.9858636000000005,43.28586,182.38284,0.5422794695011324,35:40.8,6,-0.253,0101000020E6100000C2CC7ED918C6FFBF0A31940B97A44540,20230419_DACIA_DONOSTIA_TOLOSA_033,,d2,33:44.8,58:01.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,36:30.4,5.6,9,30,NNE,7.902514250703481,-148.59112192606284,165,110,0.0,19.0,128.0,,,,18,164,1,55,2
35:46.1,,,64,,98.5,,,,,,,33,-1.9865023,43.28547,181.85382,0.6097602262786397,35:45.8,6,0.249,0101000020E6100000597EB193B6C8FFBFEF9CDC448AA44540,20230419_DACIA_DONOSTIA_TOLOSA_033,,d2,33:44.8,58:01.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,36:30.4,5.6,9,30,NNE,7.45580068481607,-154.0629906390733,165,110,0.0,19.0,128.0,,,,18,164,1,55,2
35:51.6,,,64,,98.5,,,,,,,33,-1.987592,43.28494,181.3552,0.7158427967441953,35:51.9,6,-0.263,0101000020E61000008F1E70472DCDFFBFC0415CE678A44540,20230419_DACIA_DONOSTIA_TOLOSA_033,,d2,33:44.8,58:01.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,36:30.4,5.6,9,30,NNE,7.512393377021171,-153.41430748164595,165,110,0.0,19.0,128.0,,,,18,164,1,55,2
35:57.1,,,64,,98.5,,,,,,,33,-1.9885911,43.28444,181.06839,0.8139828335426897,35:56.9,6,0.221,0101000020E6100000882625EB44D1FFBFA0FC818168A44540,20230419_DACIA_DONOSTIA_TOLOSA_033,,d2,33:44.8,58:01.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,36:30.4,5.6,9,30,NNE,8.35607514488465,-141.80509586770043,165,110,0.0,19.0,128.0,,,,18,164,1,8,2
36:02.5,,,64,,98.5,,,,,,,33,-1.9894503,43.283764,179.57666,0.91640075442282,36:02.9,6,-0.401,0101000020E61000007E07EEE7C9D4FFBF278C695C52A44540,20230419_DACIA_DONOSTIA_TOLOSA_033,,d2,33:44.8,58:01.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,36:30.4,5.6,9,30,NNE,8.911060501773953,-128.06161419478815,165,110,0.0,19.0,128.0,,,,18,164,1,8,2
36:08.2,,,64,,98.5,,,,,,,33,-1.9898653,43.283234,178.05785,0.9842529519336897,36:08.0,6,0.206,0101000020E6100000F7C20BF07CD6FFBFA39CE20341A44540,20230419_DACIA_DONOSTIA_TOLOSA_033,,d2,33:44.8,58:01.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,36:30.4,5.6,9,30,NNE,2.457200255834233,-45.84418782342216,165,110,0.0,19.0,128.0,,,,18,164,1,8,2
36:13.6,,,64,,98.5,,,,,,,33,-1.9892167,43.282566,177.32384,1.0752161412845949,36:14.0,6,-0.44,0101000020E610000063502BE7D4D3FFBFC74CC0262BA44540,20230419_DACIA_DONOSTIA_TOLOSA_033,,d2,33:44.8,58:01.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,36:30.4,5.6,9,30,NNE,0.3322984418557855,-32.11595852902347,165,110,0.0,19.0,128.0,,,,18,164,1,55,2
36:19.0,,,64,,98.5,,,,,,,33,-1.9882863,43.281982,173.83711,1.1747214846006215,36:19.0,6,-0.017,0101000020E6100000E109C23C05D0FFBF84DCF80A18A44540,20230419_DACIA_DONOSTIA_TOLOSA_033,,d2,33:44.8,58:01.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,36:30.4,5.6,9,30,NNE,4.162192784027992,-57.54634007695468,165,110,0.0,19.0,128.0,,,,18,164,1,55,2
36:24.4,,,64,,98.5,,,,,,,33,-1.9877483,43.281136,168.17203,1.2785390586510756,36:24.1,6,0.354,0101000020E610000018908924D1CDFFBFF8F82942FCA34540,20230419_DACIA_DONOSTIA_TOLOSA_033,,d2,33:44.8,58:01.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,36:30.4,5.6,9,30,NNE,4.230135093167331,-58.03527089359003,165,110,0.0,19.0,128.0,,,,18,164,1,55,2
36:29.9,,,64,,98.5,,,,,,,33,-1.9870207,43.27997,158.82797,1.4212501236909743,36:30.2,6,-0.252,0101000020E610000058F9F638D6CAFFBFE42DFEFBD5A34540,20230419_DACIA_DONOSTIA_TOLOSA_033,,d2,33:44.8,58:01.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,36:30.4,5.6,9,30,NNE,6.872715961328706,-79.78571745022278,165,110,0.0,19.0,128.0,,,,18,164,1,55,2
36:35.4,,,64,,98.5,,,,,,,33,-1.9869043,43.279324,152.23698000000002,1.493996635965684,36:35.3,6,0.183,0101000020E610000010DF38285CCAFFBF68A18DDBC0A34540,20230419_DACIA_DONOSTIA_TOLOSA_033,,d2,33:44.8,58:01.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,36:30.4,5.6,9,30,NNE,8.804249592802137,-108.02823920437136,165,110,0.0,19.0,128.0,,,,18,164,1,55,2
36:40.9,,,64,,98.5,,,,,,,33,-1.9870794,43.278786,143.62535,1.5560761054206442,36:41.3,6,-0.366,0101000020E61000003C1131C213CBFFBFBBA8A434AFA34540,20230419_DACIA_DONOSTIA_TOLOSA_033,,d2,33:44.8,58:01.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,36:30.4,5.6,9,30,NNE,6.551309712799548,-76.71257844331066,165,110,0.0,19.0,128.0,,,,18,164,1,55,2
36:46.5,,,64,,98.5,,,,,,,33,-1.986954,43.278255,138.26088,1.6162266239125846,36:46.3,6,0.166,0101000020E6100000A3AAB54C90CAFFBF187019E49DA34540,20230419_DACIA_DONOSTIA_TOLOSA_033,,d2,33:44.8,58:01.1,DACIA_SPRING,Dacia Spring 33 kW,33000,139,36:56.8,5.6,9,30,NNE,8.76246603480817,-106.80713638474356,165,110,0.0,19.0,128.0,,,,18,164,1,8,2
