timestamp_data_utc,elv_spy,speed,soc,amb_temp,soh,regenwh,Motor Pwr(w),Aux Pwr(100w),Motor Temp,Torque Nm,rpm,route_id,longitude,latitude,altitude,cumul_dist,timestamp_gps_utc,car_id,time_diff,point_geom,route_code,route_description,driver,start_timestamp,end_timestamp,car_code,car_description,capacity,ref_consumption,timestamp_weather_utc,wind_mph,wind_kph,wind_degree,wind_dir,Frontal_Wind,Veh_deg,totalVehicles,speedAvg,cars_by_speed_interval_0_80,cars_by_speed_interval_80_100,cars_by_speed_interval_100_120,cars_by_speed_interval_0_50,cars_by_speed_interval_50_80,cars_by_speed_interval_80_120,cars_by_speed_interval_120_inf,cars_by_length_interval_0_7,cars_by_length_interval_7_inf,max_speed,radius
22:02.2,,,87,,98.5,,,,,,,53,-2.4832158,43.186157,231.81554,0.0,22:02.0,6,0.181,0101000020E6100000B024A74FA0DD03C057F3FFF3D3974540,20230420_DACIA_EIBAR_DONOSTIA_053,,d2,19:34.5,05:18.0,DACIA_SPRING,Dacia Spring 33 kW,33000,139,23:21.2,8.1,13.0,300,WNW,7.501285467905001,24.75864545513416,261,59,,,,41.0,215.0,5.0,0,246,15,85,4
22:08.0,,,87,,98.5,,,,,,,53,-2.4821143,43.186665000000005,247.4374,0.10681845054414825,22:08.2,6,-0.13,0101000020E6100000F818B0CC5EDB03C09C3FBD9FE4974540,20230420_DACIA_EIBAR_DONOSTIA_053,,d2,19:34.5,05:18.0,DACIA_SPRING,Dacia Spring 33 kW,33000,139,23:21.2,8.1,13.0,300,WNW,12.356124696582762,-11.891776347291596,261,59,,,,41.0,215.0,5.0,0,246,15,25,4
22:13.7,,,87,,98.5,,,,,,,53,-2.4811883,43.18647,242.1986,0.18513820911737072,22:13.3,6,0.418,0101000020E6100000CD26803879D903C0E720C139DE974540,20230420_DACIA_EIBAR_DONOSTIA_053,,d2,19:34.5,05:18.0,DACIA_SPRING,Dacia Spring 33 kW,33000,139,23:21.2,8.1,13.0,300,WNW,12.87055677269051,-21.907799365348136,261,59,,,,41.0,215.0,5.0,0,246,15,25,4
22:19.3,,,87,,98.5,,,,,,,53,-2.4799450000000003,43.185970000000005,241.44032,0.30025829117716907,22:19.3,6,-0.0289999999999999,0101000020E6100000AD84B06CEDD603C09F432BEECD974540,20230420_DACIA_EIBAR_DONOSTIA_053,,d2,19:34.5,05:18.0,DACIA_SPRING,Dacia Spring 33 kW,33000,139,23:21.2,8.1,13.0,300,WNW,10.842546132400264,3.4837828699244016,261,59,,,,41.0,215.0,5.0,0,246,15,8,4
22:24.9,,,87,,98.5,,,,,,,53,-2.4788773,43.186035,233.16655,0.38751770374064654,22:24.3,6,0.512,0101000020E61000005949409BBDD403C02F8613F1CF974540,20230420_DACIA_EIBAR_DONOSTIA_053,,d2,19:34.5,05:18.0,DACIA_SPRING,Dacia Spring 33 kW,33000,139,23:21.2,8.1,13.0,300,WNW,3.73568271855547,43.3000185874943,261,59,,,,41.0,215.0,5.0,0,246,15,20,4
22:30.5,,,87,,98.5,,,,,,,53,-2.4780273,43.186836,231.74435,0.5001416635350506,22:30.4,6,0.068,0101000020E610000078F479F7FFD203C0F96F803DEA974540,20230420_DACIA_EIBAR_DONOSTIA_053,,d2,19:34.5,05:18.0,DACIA_SPRING,Dacia Spring 33 kW,33000,139,23:21.2,8.1,13.0,300,WNW,-0.7040182842905095,63.10438609689067,261,59,,,,41.0,215.0,5.0,0,246,15,85,4
22:36.4,,,87,,98.5,,,,,,,53,-2.4775434,43.18779,234.89174,0.6132876251540432,22:36.5,6,-0.141,0101000020E6100000AB15374B02D203C0BEC6387709984540,20230420_DACIA_EIBAR_DONOSTIA_053,,d2,19:34.5,05:18.0,DACIA_SPRING,Dacia Spring 33 kW,33000,139,23:21.2,8.1,13.0,300,WNW,3.500481650089798,44.37929751500951,261,59,,,,41.0,215.0,5.0,0,246,15,85,4
22:42.1,,,87,,98.5,,,,,,,53,-2.4768996,43.18842,236.08676,0.7006555144926622,22:41.9,6,0.171,0101000020E6100000A03C20B1B0D003C025C9A8181E984540,20230420_DACIA_EIBAR_DONOSTIA_053,,d2,19:34.5,05:18.0,DACIA_SPRING,Dacia Spring 33 kW,33000,139,23:21.2,8.1,13.0,300,WNW,3.5230649511084557,44.27592127222659,261,59,,,,41.0,215.0,5.0,0,246,15,8,4
22:48.1,,,87,,98.5,,,,,,,53,-2.4767714,43.188545,235.98145,0.7180114727786922,22:47.9,6,0.212,0101000020E61000007FA99B8C6DD003C02E8E1C4022984540,20230420_DACIA_EIBAR_DONOSTIA_053,,d2,19:34.5,05:18.0,DACIA_SPRING,Dacia Spring 33 kW,33000,139,23:21.2,8.1,13.0,300,WNW,11.258330249197698,0.0,261,59,,,,41.0,215.0,5.0,0,246,15,8,4
22:53.7,,,87,,98.5,,,,,,,53,-2.4767714,43.188545,235.98145,0.7180114727786922,22:53.6,6,0.091,0101000020E61000007FA99B8C6DD003C02E8E1C4022984540,20230420_DACIA_EIBAR_DONOSTIA_053,,d2,19:34.5,05:18.0,DACIA_SPRING,Dacia Spring 33 kW,33000,139,23:21.2,8.1,13.0,300,WNW,11.258330249197698,0.0,261,59,,,,41.0,215.0,5.0,0,246,15,8,4
