timestamp_data_utc,elv_spy,speed,soc,amb_temp,soh,regenwh,Motor Pwr(w),Aux Pwr(100w),Motor Temp,Torque Nm,rpm,route_id,longitude,latitude,altitude,cumul_dist,timestamp_gps_utc,car_id,time_diff,point_geom,route_code,route_description,driver,start_timestamp,end_timestamp,car_code,car_description,capacity,ref_consumption,timestamp_weather_utc,wind_mph,wind_kph,wind_degree,wind_dir,Frontal_Wind,Veh_deg,totalVehicles,speedAvg,cars_by_speed_interval_0_80,cars_by_speed_interval_80_100,cars_by_speed_interval_100_120,cars_by_speed_interval_0_50,cars_by_speed_interval_50_80,cars_by_speed_interval_80_120,cars_by_speed_interval_120_inf,cars_by_length_interval_0_7,cars_by_length_interval_7_inf,max_speed,radius
01:41.3,,,92,,98.5,,,,,,,55,-1.9858317,43.293423,174.3695,0.0,01:41.4,6,-0.11,0101000020E61000002E5F8F70F7C5FFBF8169A4E78EA54540,20230421_DACIA_DONOSTIA_ULIA_055,,d4,01:37.4,06:35.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,00:55.9,2.2,3.6,113,ESE,-2.726582512090725,-63.7658805597852,400,100,20.0,147.0,215.0,,,,18,350,50,25,2
01:46.9,,,92,,98.5,,,,,,,55,-1.9853936,43.292534,175.4342,0.1050243793538565,01:46.5,6,0.415,0101000020E610000072F3322F2CC4FFBF96E84DC171A54540,20230421_DACIA_DONOSTIA_ULIA_055,,d4,01:37.4,06:35.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,00:55.9,2.2,3.6,113,ESE,-1.9187817258800792,-80.79196599811453,400,100,20.0,147.0,215.0,,,,18,350,50,8,2
01:52.4,,,92,,98.5,,,,,,,55,-1.9852383,43.291576,178.65057,0.2123363123585386,01:52.5,6,-0.081,0101000020E6100000B47C973189C3FFBFF43A7F6652A54540,20230421_DACIA_DONOSTIA_ULIA_055,,d4,01:37.4,06:35.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,00:55.9,2.2,3.6,113,ESE,-3.593959783928121,-19.680494757956065,400,100,20.0,147.0,215.0,,,,18,350,50,8,2
01:57.9,,,92,,98.5,,,,,,,55,-1.9848301,43.29143,175.95782,0.2492459527015881,01:57.5,6,0.357,0101000020E61000008940583ADDC1FFBF73C6E6994DA54540,20230421_DACIA_DONOSTIA_ULIA_055,,d4,01:37.4,06:35.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,00:55.9,2.2,3.6,113,ESE,-3.5913777852380555,-19.03372779888856,400,100,20.0,147.0,215.0,,,,18,350,50,25,2
02:03.3,,,92,,98.5,,,,,,,55,-1.9843953,43.29128,176.0708,0.2881897422600405,02:03.5,6,-0.188,0101000020E6100000AE03733615C0FFBF4CFDBCA948A54540,20230421_DACIA_DONOSTIA_ULIA_055,,d4,01:37.4,06:35.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,00:55.9,2.2,3.6,113,ESE,-3.1542198967989736,-51.81599064690587,400,100,20.0,147.0,215.0,,,,18,350,50,25,2
02:08.9,,,92,,98.5,,,,,,,55,-1.9839942,43.29077,166.7232,0.3541990184615568,02:08.6,6,0.317,0101000020E6100000973B33C170BEFFBFDDD2E60F38A54540,20230421_DACIA_DONOSTIA_ULIA_055,,d4,01:37.4,06:35.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,00:55.9,2.2,3.6,113,ESE,-3.092274114734824,-53.79942541358964,400,100,20.0,147.0,215.0,,,,18,350,50,25,2
02:15.5,,,92,,98.5,,,,,,,55,-1.9838405,43.29056,165.64996000000002,0.3806786757146442,02:15.6,6,-0.124,0101000020E61000001FE1EE8BCFBDFFBFCF085F2D31A54540,20230421_DACIA_DONOSTIA_ULIA_055,,d4,01:37.4,06:35.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,00:55.9,2.2,3.6,113,ESE,-2.662525880394908,19.30345396909011,400,100,20.0,147.0,215.0,,,,18,350,50,25,2
02:20.9,,,92,,98.5,,,,,,,55,-1.9836692,43.29062,166.17236,0.39607379758684924,02:20.6,6,0.272,0101000020E6100000FE1F92E71BBDFFBF27799E0D33A54540,20230421_DACIA_DONOSTIA_ULIA_055,,d4,01:37.4,06:35.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,03:40.7,2.2,3.6,113,ESE,-2.584102896442225,-67.12633480954203,400,100,20.0,147.0,215.0,,,,18,350,50,25,2
02:26.4,,,92,,98.5,,,,,,,55,-1.9835342,43.2903,166.16016000000002,0.43329603487630014,02:26.6,6,-0.253,0101000020E61000009359D6608EBCFFBFC2FFF38728A54540,20230421_DACIA_DONOSTIA_ULIA_055,,d4,01:37.4,06:35.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,03:40.7,2.2,3.6,113,ESE,-2.171148567685476,-75.90798518766803,400,100,20.0,147.0,215.0,,,,18,350,50,25,2
02:31.8,,,92,,98.5,,,,,,,55,-1.9834614,43.29001,165.06146,0.4660948850571816,02:31.6,6,0.1889999999999999,0101000020E61000001AAAFFFF41BCFFBFAF1AB6F31EA54540,20230421_DACIA_DONOSTIA_ULIA_055,,d4,01:37.4,06:35.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,03:40.7,2.2,3.6,113,ESE,-2.3036889677445176,-73.21462266852969,400,100,20.0,147.0,215.0,,,,18,350,50,25,2
02:37.4,,,92,,98.5,,,,,,,55,-1.9832774,43.2894,160.7912,0.5356706471127114,02:37.6,6,-0.266,0101000020E6100000D080592581BBFFBF1E7E48090BA54540,20230421_DACIA_DONOSTIA_ULIA_055,,d4,01:37.4,06:35.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,03:40.7,2.2,3.6,113,ESE,-3.3734772074334405,-43.43366777045558,400,100,20.0,147.0,215.0,,,,18,350,50,25,2
02:42.9,,,92,,98.5,,,,,,,55,-1.9829975,43.289135,157.12921,0.573019463875389,02:42.7,6,0.191,0101000020E6100000D1CB28965BBAFFBF9AFCC35402A54540,20230421_DACIA_DONOSTIA_ULIA_055,,d4,01:37.4,06:35.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,03:40.7,2.2,3.6,113,ESE,-2.056826564799279,32.156229278631194,400,100,20.0,147.0,215.0,,,,18,350,50,25,2
02:48.5,,,92,,98.5,,,,,,,55,-1.9828782,43.28921,155.02307,0.5859509743966357,02:48.7,6,-0.2019999999999999,0101000020E610000029008C88DEB9FFBF1BBB02D904A54540,20230421_DACIA_DONOSTIA_ULIA_055,,d4,01:37.4,06:35.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,03:40.7,2.2,3.6,113,ESE,-3.4129147796472754,-41.55261314713994,400,100,20.0,147.0,215.0,,,,18,350,50,25,2
02:54.0,,,91,,98.5,,,,,,,55,-1.9827462,43.289093,156.7721,0.6028761369782967,02:53.7,6,0.32,0101000020E6100000DB4A541454B9FFBFD093190C01A54540,20230421_DACIA_DONOSTIA_ULIA_055,,d4,01:37.4,06:35.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,03:40.7,2.2,3.6,113,ESE,-2.319278537032046,-72.89098032176659,400,100,20.0,147.0,215.0,,,,18,350,50,25,2
03:00.7,,,91,,98.5,,,,,,,55,-1.9826674,43.288837,156.44128,0.6320496883115992,03:00.7,6,-0.073,0101000020E6100000231CAB7B01B9FFBFEC0DA593F8A44540,20230421_DACIA_DONOSTIA_ULIA_055,,d4,01:37.4,06:35.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,03:40.7,2.2,3.6,113,ESE,0.8412274639524068,-126.5134899177769,400,100,20.0,147.0,215.0,,,,18,350,50,25,2
03:06.2,,,91,,98.5,,,,,,,55,-1.9830768,43.288284,156.1695,0.701901229703283,03:05.8,6,0.418,0101000020E6100000B8E224C5AEBAFFBF90A88A88E6A44540,20230421_DACIA_DONOSTIA_ULIA_055,,d4,01:37.4,06:35.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,03:40.7,2.2,3.6,113,ESE,1.2699477475691938,-133.65642207559264,400,100,20.0,147.0,215.0,,,,18,350,50,25,2
03:11.7,,,91,,98.5,,,,,,,55,-1.9832371,43.288116,152.65729,0.7249153503566472,03:11.8,6,-0.09,0101000020E61000000F6C4BD356BBFFBF2EBF1DF2E0A44540,20230421_DACIA_DONOSTIA_ULIA_055,,d4,01:37.4,06:35.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,03:40.7,2.2,3.6,113,ESE,0.8188816116438492,-126.1479959014574,400,100,20.0,147.0,215.0,,,,18,350,50,25,2
03:17.2,,,91,,98.5,,,,,,,55,-1.9834431,43.287834,152.69269,0.7604297904684152,03:16.8,6,0.391,0101000020E6100000596F50D22EBCFFBFC7D056CAD7A44540,20230421_DACIA_DONOSTIA_ULIA_055,,d4,01:37.4,06:35.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,03:40.7,2.2,3.6,113,ESE,-2.9294529143181443,-58.5373377609577,400,100,20.0,147.0,215.0,,,,18,350,50,25,2
03:22.8,,,91,,98.5,,,,,,,55,-1.9832889,43.287582,151.01703,0.7911506138247826,03:22.8,6,-0.093,0101000020E61000009A18FD2E8DBBFFBF90E53476CFA44540,20230421_DACIA_DONOSTIA_ULIA_055,,d4,01:37.4,06:35.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,03:40.7,2.2,3.6,113,ESE,-2.575245743616073,21.328434433890504,400,100,20.0,147.0,215.0,,,,18,350,50,25,2
03:28.4,,,91,,98.5,,,,,,,55,-1.9830123,43.287690000000005,151.08704,0.8165564889361642,03:28.9,6,-0.481,0101000020E61000004C6ACB2D6BBAFFBFD681410CD3A44540,20230421_DACIA_DONOSTIA_ULIA_055,,d4,01:37.4,06:35.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,03:40.7,2.2,3.6,113,ESE,-2.6467751882565755,19.67458565382209,400,100,20.0,147.0,215.0,,,,18,350,50,25,2
03:34.0,,,91,,98.5,,,,,,,55,-1.9826627,43.287815,158.02087,0.8488363255494684,03:33.9,6,0.0559999999999999,0101000020E610000025FCF785FCB8FFBF0F330B1FD7A44540,20230421_DACIA_DONOSTIA_ULIA_055,,d4,01:37.4,06:35.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,03:40.7,2.2,3.6,113,ESE,-3.2433011591050964,2.7211356917791827,400,100,20.0,147.0,215.0,,,,18,350,50,25,2
03:39.5,,,91,,98.5,,,,,,,55,-1.9825575,43.28782,159.1206,0.8574400082805754,03:40.0,6,-0.497,0101000020E6100000FF6BED3B8EB8FFBF15127A47D7A44540,20230421_DACIA_DONOSTIA_ULIA_055,,d4,01:37.4,06:35.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,03:40.7,2.2,3.6,113,ESE,-3.5675804155716944,-15.304859409854378,400,100,20.0,147.0,215.0,,,,18,350,50,25,2
03:44.9,,,91,,98.5,,,,,,,55,-1.9824698,43.287796,161.21063,0.8653063267698502,03:44.9,6,-0.026,0101000020E61000007BE5304E32B8FFBFE009E67DD6A44540,20230421_DACIA_DONOSTIA_ULIA_055,,d4,01:37.4,06:35.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,03:40.7,2.2,3.6,113,ESE,-1.8679892143771504,35.742450973684186,400,100,20.0,147.0,215.0,,,,18,350,50,25,2
03:50.4,,,91,,98.5,,,,,,,55,-1.982417,43.287834,160.84589,0.8713272417757252,03:50.0,6,0.441,0101000020E6100000502902DEFAB7FFBFC765BBC6D7A44540,20230421_DACIA_DONOSTIA_ULIA_055,,d4,01:37.4,06:35.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,03:40.7,2.2,3.6,113,ESE,-2.89556597381706,13.454990718751228,400,100,20.0,147.0,215.0,,,,18,350,50,25,2
03:55.8,,,91,,98.5,,,,,,,55,-1.9820659,43.287918,163.23956,0.9013367790776264,03:56.0,6,-0.181,0101000020E61000000070CBCB8AB6FFBFC0CA257EDAA44540,20230421_DACIA_DONOSTIA_ULIA_055,,d4,01:37.4,06:35.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,03:40.7,2.2,3.6,113,ESE,-2.8738098648841413,14.033783788425527,400,100,20.0,147.0,215.0,,,,18,350,50,25,2
04:01.3,,,91,,98.5,,,,,,,55,-1.9815178,43.288055,165.37438999999998,0.9482915283800362,04:01.0,6,0.272,0101000020E6100000E51137024CB4FFBFD537D5FFDEA44540,20230421_DACIA_DONOSTIA_ULIA_055,,d4,01:37.4,06:35.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,03:40.7,2.2,3.6,113,ESE,-1.9203299990357656,34.76283830300082,20,97,,,,0.0,4.0,14.0,2,20,0,25,2
04:07.1,,,91,,98.5,,,,,,,55,-1.9810164,43.288403,169.60626000000002,1.0045258081803703,04:07.1,6,0.0,0101000020E6100000396FAD403EB2FFBF0525585EEAA44540,20230421_DACIA_DONOSTIA_ULIA_055,,d4,01:37.4,06:35.4,DACIA_SPRING,Dacia Spring 33 kW,33000,139,03:40.7,2.2,3.6,113,ESE,-2.5190076319631243,22.59510788011265,20,97,,,,0.0,4.0,14.0,2,20,0,25,2
