dataset,vehicle,feature,available,source_column,derivation,unit,confidence,usable_for_training,usable_for_external_validation,reason
DEVRT,Dacia Spring / Nissan Leaf,current_soc_pct,yes,current_soc_pct,direct from DEVRT telemetry,%,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,current_altitude_m,yes,current_altitude_m,direct from DEVRT telemetry,m,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,current_gradient_pct,yes,current_gradient_pct,direct from DEVRT telemetry,%,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,past_1km_gradient_pct,yes,past_1km_gradient_pct,direct from DEVRT telemetry,%,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,elevation_gain_100m,yes,elevation_gain_100m,direct from DEVRT telemetry,m,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,elevation_gain_500m,yes,elevation_gain_500m,direct from DEVRT telemetry,m,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,elevation_gain_1km,yes,elevation_gain_1km,direct from DEVRT telemetry,m,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,elevation_loss_100m,yes,elevation_loss_100m,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,elevation_loss_500m,yes,elevation_loss_500m,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,elevation_loss_1km,yes,elevation_loss_1km,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,net_elevation_change_1km,yes,net_elevation_change_1km,direct from DEVRT telemetry,m,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,mean_gradient_500m,yes,mean_gradient_500m,direct from DEVRT telemetry,%,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,mean_gradient_1km,yes,mean_gradient_1km,direct from DEVRT telemetry,%,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,gradient_std_500m,yes,gradient_std_500m,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,gradient_std_1km,yes,gradient_std_1km,direct from DEVRT telemetry,unknown,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,max_uphill_gradient,yes,max_uphill_gradient,direct from DEVRT telemetry,%,high,yes,yes,Direct DEVRT telemetry
DEVRT,Dacia Spring / Nissan Leaf,max_downhill_gradient,yes,max_downhill_gradient,direct from DEVRT telemetry,%,high,yes,yes,Direct DEVRT telemetry
