signal_name, value_id, available_in_tum, derivable, physical_unit, confidence,_can_provide_energy_target, notes
speed_kmh,4,YES,YES,km/h,HIGH,NO,"value_id 4 present in all TUM files; speed alone cannot construct energy target without distance"
hv_soc_percent,900,YES,NO,%,HIGH,NO,"SOC present but not verified as physical battery measurement per Step 12; cannot construct energy target alone"
battery_voltage_V,1200,YES,NO,V,HIGH,NO,"Voltage present but no current; power = V × I cannot be computed without I (traction battery current unavailable)"
ambient_temperature_C,15,YES,NO,°C,MEDIUM,NO,"Temperature effect on consumption is physically grounded but cannot construct energy target alone"
hv_aux_power_W,56,YES,NO,W,MEDIUM,NO,"hv_aux_power is auxiliary only ≠ traction motor power; cannot drive energy target"
battery_temperature_C,1208/1209,YES,NO,°C,MEDIUM,NO,"Battery temperature effects on consumption are physically grounded but insufficient for energy target"
coolant_temp_inverter_C,1269,YES,NO,°C,LOW,NO," inverter coolant temperature; physically grounded effect but insufficient for energy target"
rear_motor_temp_C,961/1265,YES,NO,°C,LOW,NO," motor temperature; physically grounded effect but insufficient for energy target"
traveled_distance_km,1299,NO,NO,km,LOW,NO,"ABSENT from all TUM parquet files; critical blocker — previously identified in Step 12"
traction_battery_current_A,1205,NO,NO,A,LOW,NO,"value_id 1205 = PTC1 current ≠ traction battery current; different sensor/phase; current unavailable"
traction_motor_power_W,1300/1301,NO,NO,W,LOW,NO,"value_ids 1300/1301 absent from TUM; PTC1/PTC2 power ≠ traction motor power"
odometer_km,n/a,NO,NO,km,LOW,NO,"No odometer signal in TUM UDS; value_id 1299 (traveled distance) absent"
energy_consumption_kwh_per_km,n/a,NO,NO,kWh/km,LOW,NO,"Cannot be constructed; missing distance and/or validated SOC"
trip_boundaries,1291,partial,NO,min,LOW,NO,"value_id 1291 (track duration) absent from CUP1-3; may exist in later row groups but unverified"
gps_coordinates,n/a,NO,NO,degrees,LOW,NO,"No GPS coordinates in TUM UDS data"
altitude_m,n/a,NO,NO,m,LOW,NO,"No altitude/DEM in TUM UDS data; GPS unavailable"

 summary:
 - Available signals from TUM: speed (4), SOC (900), voltage (1200), temperature (15, 1208/1209, 961/1265/1269), aux power (56)
 - Unavailable: distance (1299), traction current, GPS/altitude, odometer
 - No single signal or combination of available signals can construct a 5-km energy target analogous to DEVRT
 - The critical blockers are: (1) no traveled distance, (2) no verified traction battery current, (3) SOC not verified as physical measurement
 - Any attempt to invent or derive these signals from unrelated variables is PROHIBITED per Step 12 Rules #4 and #5
