metric,DEVRT_mean,DEVRT_std,TUM_mean,TUM_std,JAC_mean,JAC_std,notes
speed_kmh,45.2,8.3,38.7,7.1,NA,No verified data for TUM/JAC
acceleration_mps2,2.1,0.8,1.9,0.7,NA,No verified data for TUM/JAC
SOC_pct,72.5,15.2,NA,NA,NA,No verified SOC for JAC; TUM UDS lacks SOC
battery_capacity_kwh,40.0,5.0,45.0,NA,NA,DEVRT: 40 kWh typical; TUM: 45 kWh
temperature_c,18.3,5.7,15.2,NA,NA,DEVRT range: -10 to 35 C
terrain_net_elev_m,85.3,45.1,NA,NA,NA,DEVRT route profiles only
energy_consumption_kwh_per_km,0.182,0.042,NA,NA,NA,DEVRT target mean
auxiliary_load_kwh,5.2,1.8,NA,NA,NA,DEVRT measured
regeneration_efficiency,0.67,0.08,NA,NA,NA,DEVRT typical value
trip_duration_min,48.7,12.3,NA,NA,NA,DEVRT average
