feature,feature_group,source_column,calculation_method,uses_current_data,uses_past_data,uses_future_data,uses_route_information,uses_trip_end_information,uses_target,causal_status,reason
current_soc_pct,common,derived,past/current window,1,0,0,0,0,0,CAUSAL,current observation only
current_altitude_m,common,derived,past/current window,1,0,0,0,0,0,CAUSAL,current observation only
current_gradient_pct,common,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
past_1km_gradient_pct,common,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
elevation_gain_100m,common,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
elevation_gain_500m,common,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
elevation_gain_1km,common,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
elevation_loss_100m,common,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
elevation_loss_500m,common,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
elevation_loss_1km,common,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
net_elevation_change_1km,common,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
mean_gradient_500m,common,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
mean_gradient_1km,common,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
gradient_std_500m,common,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
gradient_std_1km,common,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
max_uphill_gradient,common,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
max_downhill_gradient,common,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
terrain_variability,common,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
hillyness_score,common,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
uphill_fraction_1km,common,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
downhill_fraction_1km,common,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
flat_fraction_1km,common,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
terrain_transition_count_1km,common,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
gradient_direction_changes_1km,common,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
elevation_gain_rate,common,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
elevation_loss_rate,common,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
distance_since_trip_start_km,common,distance_km,d - d[0]  (first row only),0,1,0,0,0,0,CAUSAL,uses only the trip start (first row); no future/total info
time_since_trip_start_min,common,timestamp,(time_s - origin)/60  (first row only),0,1,0,0,0,0,CAUSAL,uses only the trip start time; no future/total info
trip_distance_so_far_km,common,distance_km,d - d[0]  (first row only),0,1,0,0,0,0,CAUSAL,uses only the trip start (first row); no future/total info
trip_elapsed_time_min,common,timestamp,(time_s - origin)/60  (first row only),0,1,0,0,0,0,CAUSAL,uses only the trip start time; no future/total info
hour_of_day,common,derived,past/current window,1,0,0,0,0,0,CAUSAL,current observation only
day_of_week,common,derived,past/current window,1,0,0,0,0,0,CAUSAL,current observation only
current_speed_kmh,telemetry,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
mean_speed_500m,telemetry,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
mean_speed_1km,telemetry,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
speed_std_500m,telemetry,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
speed_std_1km,telemetry,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
min_speed_recent,telemetry,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
max_speed_recent,telemetry,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
high_speed_fraction,telemetry,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
stopped_fraction,telemetry,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
stop_count_recent,telemetry,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
speed_change_recent,telemetry,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
acceleration_mps2,telemetry,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
mean_acceleration,telemetry,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
std_acceleration,telemetry,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
max_acceleration,telemetry,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
min_acceleration,telemetry,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
motor_power_kw,telemetry,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
torque_nm,telemetry,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
motor_rpm,telemetry,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
mean_motor_power_500m,telemetry,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
mean_motor_power_1km,telemetry,derived,past/current window,0,1,0,0,0,0,CAUSAL,computed from past windows (searchsorted distance-width)
