bin,sample_count,mae,rmse,bias
all,1537,0.04112,0.05236,-0.00618
target_-0.5_to_0.0,40,0.04468,0.04965,-0.01595
target_0.0_to_0.1,164,0.04925,0.06107,0.04371
target_0.1_to_0.2,995,0.03066,0.03883,0.00384
target_0.2_to_0.3,281,0.0658,0.07497,-0.0553
target_0.3_to_1.0,57,0.07617,0.08631,-0.07572
altitude_0_to_200,1275,0.04246,0.05386,-0.00379
altitude_200_to_400,164,0.03173,0.04302,-0.02232
altitude_400_to_600,75,0.04006,0.04824,-0.0235
altitude_600_to_1000,23,0.0373,0.04078,0.03267
next5km_grad_-99_to_-3,77,0.04649,0.0539,-0.02785
next5km_grad_-3_to_-1,154,0.03942,0.05039,-0.00026
next5km_grad_-1_to_1,938,0.04067,0.05233,-0.00991
next5km_grad_1_to_3,280,0.04429,0.05575,0.00631
next5km_grad_3_to_99,88,0.03411,0.04273,0.00247
dist_0_to_5,357,0.04409,0.05615,-0.01109
dist_5_to_15,417,0.04081,0.05344,-0.0099
dist_15_to_30,458,0.0427,0.05297,-0.01257
dist_30_to_100,305,0.03571,0.04484,0.01424
time_0_to_10,521,0.03849,0.05167,-0.00525
time_10_to_20,488,0.04713,0.05889,-0.02101
time_20_to_40,503,0.03859,0.0467,0.00553
time_40_to_100,25,0.02964,0.03665,0.02839
vehicle_Dacia Spring,1044,0.03638,0.04543,0.00034
vehicle_Nissan Leaf,493,0.05116,0.06463,-0.02
