rank,feature,importance,cumulative_importance
1,next_5km_uphill_frac,0.339948693150951,0.339948693150951
2,next_5km_net_elev_m,0.16265126341825636,0.5025999565692074
3,next_5km_gradient_pct,0.15781713130814254,0.66041708787735
4,next_5km_loss_m,0.05585259363507166,0.7162696815124217
5,next_5km_downhill_frac,0.05200154507113844,0.7682712265835601
6,current_altitude_m,0.018721906281524866,0.7869931328650849
7,next_2km_loss_m,0.012726852281937701,0.7997199851470226
8,next_5km_gain_m,0.012486516680349254,0.8122065018273719
9,day_of_week,0.011210913119711079,0.823417414947083
10,next_2km_net_elev_m,0.010632642786838184,0.8340500577339212
11,current_soc_pct,0.008852599606378249,0.8429026573402995
12,next_2km_gradient_pct,0.007634117528298188,0.8505367748685977
13,hour_sin,0.005392219352146694,0.8559289942207444
14,hour_of_day,0.004453399431254867,0.8603823936519993
15,speed_iqr,0.00440981079566162,0.8647922044476609
16,hour_cos,0.004221104371846042,0.869013308819507
17,trip_elapsed_time_min,0.00411736718017866,0.8731306759996856
18,time_since_trip_start_min,0.00406415486323938,0.877194830862925
19,next_2km_gain_m,0.003929318300937243,0.8811241491638623
20,current_temperature_c,0.003887540562216832,0.8850116897260791
21,mean_regen_power_500m,0.003778526870607403,0.8887902165966866
22,mean_gradient_1km,0.0036667547364425132,0.8924569713331291
23,mean_regen_power_1km,0.003530659799501158,0.8959876311326302
24,regen_power_kw,0.0033345541171895506,0.8993221852498198
25,trip_distance_so_far_km,0.003175184554969003,0.9024973698047888
26,speed_std_1km,0.003109864373865864,0.9056072341786546
27,temperature_recent_mean,0.0030572045719816257,0.9086644387506363
28,distance_since_trip_start_km,0.0029856210489788955,0.9116500597996152
29,max_regen_power_1km,0.0029113160341699426,0.9145613758337852
30,speed_p50,0.0028222228607514633,0.9173835986945367
31,speed_p90,0.0028166300657090273,0.9202002287602457
32,terrain_variability,0.00258546500551088,0.9227856937657566
33,positive_motor_power_fraction,0.0025056334222678996,0.9252913271880245
34,regen_share_1km,0.0024662687551727934,0.9277575959431973
35,uphill_fraction_1km,0.0024616669963354837,0.9302192629395327
36,max_downhill_gradient,0.0024410677423175567,0.9326603306818503
37,max_speed_recent,0.002299487760238593,0.9349598184420889
38,flat_fraction_1km,0.002203073238127432,0.9371628916802163
39,gradient_std_1km,0.0021128163912946794,0.939275708071511
40,max_motor_power_1km,0.0021114961347924875,0.9413872042063034
41,mean_speed_1km,0.002027346277754519,0.9434145504840579
42,speed_p10,0.001985648222288305,0.9454001987063462
43,terrain_transition_count_1km,0.0019703078286048546,0.947370506534951
44,hillyness_score,0.0019015311668907386,0.9492720377018418
45,next_1km_loss_m,0.0018700701567433819,0.9511421078585851
46,min_acceleration,0.0018486420022344634,0.9529907498608196
47,gradient_direction_changes_1km,0.0018224157158030863,0.9548131655766227
48,elevation_gain_1km,0.0017964746693013515,0.956609640245924
49,mean_speed_500m,0.0015846954295376586,0.9581943356754616
50,next_1km_gain_m,0.0015239194001085187,0.9597182550755702
51,elevation_gain_rate,0.0014599407670391005,0.9611781958426093
52,max_uphill_gradient,0.0014293885924930383,0.9626075844351024
53,power_variability,0.0014084855010208942,0.9640160699361233
54,downhill_fraction_1km,0.0014069268866553184,0.9654229968227787
55,elevation_loss_1km,0.001317165931558575,0.9667401627543373
56,temperature_bucket,0.0013017321249605375,0.9680418948792978
57,motor_rpm,0.0012966641551917367,0.9693385590344895
58,mean_neg_accel,0.0012694852029254708,0.970608044237415
59,min_speed_recent,0.0012680321827911246,0.9718760764202061
60,net_elevation_change_1km,0.001249825861816094,0.9731259022820222
61,elevation_loss_rate,0.0012461419416790692,0.9743720442237013
62,next_1km_gradient_pct,0.0012390789513489155,0.9756111231750502
63,next_5km_flat_frac,0.0011602796894003235,0.9767714028644505
64,mean_gradient_500m,0.0011383082940772048,0.9779097111585278
65,past_1km_gradient_pct,0.001126010359753477,0.9790357215182812
66,next_1km_net_elev_m,0.0011091866477724018,0.9801449081660536
67,mean_motor_power_1km,0.0010894804253453896,0.981234388591399
68,regen_energy_recovered_1km,0.0010668912883283668,0.9823012798797274
69,speed_change_recent,0.0010563660437112057,0.9833576459234386
70,speed_x_temperature,0.000941152965496717,0.9842987988889352
71,current_speed_kmh,0.0009373168336769151,0.9852361157226122
72,mean_motor_power_500m,0.0008668425590714078,0.9861029582816836
73,speed_squared,0.0008456287566630279,0.9869485870383466
74,regen_fraction_of_driving_time,0.0008255594221343506,0.987774146460481
75,max_acceleration,0.0008205266978806293,0.9885946731583616
76,mean_acceleration,0.0008016545953178506,0.9893963277536795
77,speed_std_500m,0.0007965176897356443,0.9901928454434151
78,elevation_gain_500m,0.0007729240188617637,0.9909657694622769
79,gradient_std_500m,0.0007335046008165782,0.9916992740630934
80,elevation_loss_500m,0.0006979167878854359,0.9923971908509789
81,regen_intensity,0.000677055928620456,0.9930742467795993
82,high_speed_fraction,0.0006756446338343507,0.9937498914134337
83,stopped_fraction,0.0006359930815417433,0.9943858844949754
84,regen_duration_estimate,0.0006262250617128693,0.9950121095566883
85,aux_energy_1km,0.0006091442309178542,0.9956212537876061
86,max_aux_power_1km,0.000482143629269479,0.9961033974168756
87,stop_count_recent,0.0004672900096394447,0.996570687426515
88,mean_pos_accel,0.00043163686835726283,0.9970023242948722
89,aux_power_kw,0.0003861448054141187,0.9973884691002863
90,elevation_loss_100m,0.000344773467472355,0.9977332425677586
91,elevation_gain_100m,0.00029006504379159963,0.9980233076115502
92,mean_aux_power_1km,0.00027658293517885947,0.9982998905467291
93,mean_aux_power_500m,0.0002708525539225426,0.9985707431006516
94,current_gradient_pct,0.0002454221434252154,0.9988161652440769
95,std_acceleration,0.00023283947767136095,0.9990490047217483
96,motor_power_kw,0.00020684435405011954,0.9992558490757985
97,regen_event_count_1km,0.0001986733216885205,0.999454522397487
98,torque_nm,0.00017353236024847702,0.9996280547577355
99,aux_power_variability,0.0001424853570828965,0.9997705401148185
100,regen_events_per_km,0.00013119969733534258,0.9999017398121538
101,speed_x_gradient,5.8694601794488154e-05,0.9999604344139483
102,acceleration_mps2,3.956558605211095e-05,1.0000000000000004
