rank,feature,importance_mean,importance_std
1,next_5km_uphill_frac,0.013283888163634338,0.003894991394418008
2,next_5km_gradient_pct,0.005030077052206681,0.0026338870340540587
3,next_5km_net_elev_m,0.004471846063124212,0.002594571751917929
4,next_5km_loss_m,0.0015245831086596125,0.0012361615272771405
5,next_5km_downhill_frac,0.000767857494942709,0.001133655759948665
6,day_of_week,0.00046563733852955,0.0005322156984213627
7,next_5km_gain_m,0.0002855511544555512,0.00036895531214335226
8,current_altitude_m,0.0002580044152491375,0.0003511713917983039
9,hour_sin,0.00018160756084365236,0.0001476775697341968
10,hour_of_day,0.00011507825095859643,0.00011677119881802297
11,next_2km_gain_m,0.0001095676754730171,8.500539841331917e-05
12,speed_p90,9.526957594468884e-05,6.343559022493824e-05
13,hour_cos,9.337554927741261e-05,0.00010761526445136081
14,speed_p50,9.142981768910745e-05,7.88040835706691e-05
15,current_soc_pct,6.626047417335746e-05,0.00011741609253673377
16,temperature_recent_mean,5.4653980753556025e-05,7.898247738124236e-05
17,max_downhill_gradient,4.3192269635553464e-05,0.00011020352677831394
18,mean_regen_power_1km,3.49592129899388e-05,7.512607176272659e-05
19,max_speed_recent,3.488763452060284e-05,5.095832670020496e-05
20,gradient_direction_changes_1km,3.482112415218545e-05,7.608359951449969e-05
21,speed_iqr,2.5368133997768124e-05,6.651771354004321e-05
22,next_1km_gain_m,2.4501783552327108e-05,2.2481385084817136e-05
23,mean_regen_power_500m,2.4330870897545007e-05,8.308459716017196e-05
24,next_2km_gradient_pct,2.3247157602765873e-05,5.7106978201969105e-05
25,speed_p10,2.236013692836029e-05,8.149548738203057e-05
26,max_regen_power_1km,2.14352787490014e-05,4.349084186993334e-05
27,current_temperature_c,2.077392229781344e-05,7.845681792098789e-05
28,regen_intensity,1.8826531990090434e-05,2.575350731295691e-05
29,regen_power_kw,1.658124234592643e-05,5.0562630913213954e-05
30,current_speed_kmh,1.646798141897212e-05,1.786463390417727e-05
31,regen_energy_recovered_1km,1.611688229354961e-05,1.626769833685334e-05
32,high_speed_fraction,1.5350488709406826e-05,3.978644907355665e-05
33,next_1km_gradient_pct,1.4391342868265433e-05,2.9457070216351026e-05
34,mean_gradient_1km,1.3687142342049912e-05,3.673372727414407e-05
35,max_motor_power_1km,1.3641574786383652e-05,2.7225304012233052e-05
36,mean_speed_500m,1.3488372933261975e-05,4.748171314773191e-05
37,speed_std_500m,1.2250951969268453e-05,1.510127462348826e-05
38,speed_std_1km,1.1986130828560889e-05,0.00011221646921317668
39,uphill_fraction_1km,1.1669761565576142e-05,3.633435799755265e-05
40,speed_squared,9.657176203648383e-06,1.645891134262534e-05
41,mean_gradient_500m,9.15986453027216e-06,1.5662129064398417e-05
42,regen_fraction_of_driving_time,9.121955371000264e-06,2.1521198502600353e-05
43,mean_motor_power_500m,8.879281797787483e-06,1.5598204087285014e-05
44,positive_motor_power_fraction,8.044001284735388e-06,3.416950272875173e-05
45,elevation_loss_rate,7.390191216890644e-06,2.3823700742016244e-05
46,past_1km_gradient_pct,7.256590919733907e-06,2.1838456871633715e-05
47,distance_since_trip_start_km,7.157679673003754e-06,0.00013371475664526947
48,gradient_std_500m,6.966708970085333e-06,2.3392901301975432e-05
49,stopped_fraction,6.656383391458187e-06,3.063857317510267e-05
50,gradient_std_1km,6.529295121874186e-06,4.5630203824978124e-05
51,aux_power_variability,6.344329609153654e-06,6.562360143014964e-06
52,next_2km_net_elev_m,6.20029187760283e-06,4.6741159705059465e-05
53,speed_change_recent,5.261561909412904e-06,2.8764810593142306e-05
54,mean_speed_1km,4.884482443343977e-06,3.296222924146964e-05
55,temperature_bucket,4.85575179013283e-06,4.8160354418597836e-05
56,motor_rpm,4.624957080029412e-06,1.18947204784251e-05
57,speed_x_temperature,3.53242744435082e-06,2.8846466196867295e-05
58,elevation_gain_500m,3.4106747831071555e-06,2.174028319633517e-05
59,mean_motor_power_1km,2.853934486256778e-06,2.9195513849251368e-05
60,motor_power_kw,2.750794733793564e-06,2.7760248257561716e-06
61,speed_x_gradient,2.744920298846746e-06,8.822351795196374e-06
62,min_speed_recent,2.621934106494343e-06,5.379768290009945e-05
63,acceleration_mps2,8.393704613464855e-07,1.167436917201141e-06
64,regen_events_per_km,6.891218980319598e-07,1.6339774311080326e-06
65,next_1km_net_elev_m,6.202449016459721e-07,5.440678762305672e-05
66,regen_event_count_1km,4.478798692410709e-07,5.247672298943807e-06
67,mean_aux_power_500m,3.267994906945108e-07,7.643801552341996e-06
68,aux_power_kw,-7.22037281705723e-07,7.410084070114684e-06
69,elevation_gain_100m,-1.0637417939450092e-06,3.4002695325168352e-06
70,torque_nm,-1.722718203778691e-06,4.489565805457315e-06
71,current_gradient_pct,-3.4263233754989557e-06,7.090602104371425e-06
72,mean_pos_accel,-4.142194160111171e-06,1.4916357046130472e-05
73,power_variability,-5.090645629882151e-06,3.7034381100364745e-05
74,net_elevation_change_1km,-5.2085622783147136e-06,2.7983438823666047e-05
75,trip_distance_so_far_km,-5.2713330690091575e-06,0.00012047350393080671
76,mean_acceleration,-5.773370235959141e-06,2.181236626478647e-05
77,next_2km_loss_m,-7.6143563191457176e-06,0.00014998496916555478
78,mean_neg_accel,-8.09675568329051e-06,4.3290829331011573e-05
79,mean_aux_power_1km,-8.118228298090169e-06,8.064644942268683e-06
80,terrain_transition_count_1km,-8.380284985312163e-06,5.532334591446455e-05
81,regen_duration_estimate,-8.527724630187177e-06,1.2711620956377665e-05
82,max_acceleration,-9.578550671728488e-06,1.422910697061604e-05
83,max_aux_power_1km,-9.831735203798726e-06,2.3448658893704235e-05
84,std_acceleration,-1.212067123285467e-05,1.4015805337887202e-05
85,min_acceleration,-1.3723522774501211e-05,4.8301674424882915e-05
86,elevation_loss_100m,-1.4540360722483288e-05,2.7671447285253045e-05
87,aux_energy_1km,-1.4595427031921515e-05,1.857733086132233e-05
88,regen_share_1km,-1.5505251952341316e-05,5.9273915570329736e-05
89,elevation_loss_500m,-1.7727634285231073e-05,1.0804237320068936e-05
90,hillyness_score,-1.9878746169379087e-05,8.15703607056952e-05
91,elevation_loss_1km,-2.1069842931775254e-05,4.132383171158503e-05
92,elevation_gain_1km,-2.5402790835851268e-05,7.381774436637868e-05
93,downhill_fraction_1km,-2.5962084062391515e-05,4.580266209160777e-05
94,stop_count_recent,-2.627415859786884e-05,2.969516172792552e-05
95,next_1km_loss_m,-2.8530157431495377e-05,9.33605427695924e-05
96,elevation_gain_rate,-3.294272016314409e-05,6.997178174331675e-05
97,terrain_variability,-3.405970565040495e-05,8.189448513387959e-05
98,max_uphill_gradient,-3.747489483309635e-05,4.305032363772062e-05
99,flat_fraction_1km,-4.172855448812222e-05,0.00010563656940312361
100,trip_elapsed_time_min,-4.711268710807283e-05,0.0001972745993067402
101,time_since_trip_start_min,-6.757161367056027e-05,0.00019538175197330335
102,next_5km_flat_frac,-0.00014879955055623292,9.042974820883828e-05
